Property Address,Property City,Property Province,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Property Name,Buyer (True) Company,Buyer (True) Origin,Acquisition Fund Name,Buyers Broker Company,Seller (True) Company,Seller (True) Origin,Listing Broker Company,Secondary Type,Building Class,Year Built,Land Area AC,Land Area SF,Number Of Floors,Zoning,Disposition Fund Name,Submarket Name,Location Type,Property Postal Code,Property Region,Country,Subcontinent,Continent,Corner,Map Code
52 Scarsdale Rd,Toronto,ON,Office,"2,459",3 Star,"$1,463,105",595.00,,Under Contract,"1,463,105",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"2,402",3 Star,"$1,381,150",575.00,,Under Contract,"1,381,150",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
85-87 Harbord St,Toronto,ON,Office,"1,545",2 Star,"$1,199,000",776.05,,Under Contract,"1,199,000",,,Office Condo,,,,,,,BERKSHIRE HATHAWAY HOMESERVICES TORONTO REALTY,Medical,C,1999,,,4,CR,,Midtown,Urban,M5S 1G6,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,021",3 Star,"$1,174,530","1,150.37",,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,406",3 Star,"$1,174,530",835.37,,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,158",3 Star,"$1,174,530","1,014.28",,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,526",3 Star,"$1,174,530",769.68,,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,239",3 Star,"$1,174,530",947.97,,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,930,3 Star,"$1,174,530","1,262.94",,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,537",3 Star,"$1,174,530",764.17,,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,287",3 Star,"$1,174,530",912.61,,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,095",3 Star,"$1,174,530","1,072.63",,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,974",3 Star,"$1,174,530",595.00,,Under Contract,"1,174,530",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
130 Queens Quay E,Toronto,ON,Office,"1,037",4 Star,"$1,150,000","1,108.97",,Under Contract,"1,150,000",,,Daniels Waterfront Phase A - East Tower,,,,,,,Royal LePage Commercial,Office/Residential,A,2018,,,13,CR 4.0 (c4.0;r2.5) ss1,,Downtown East,CBD,M5A 0P6,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,841",3 Star,"$1,095,395",595.00,,Under Contract,"1,095,395",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,849",3 Star,"$1,063,175",575.00,,Under Contract,"1,063,175",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
52 Scarsdale Rd,Toronto,ON,Office,"1,513",3 Star,"$869,975",575.00,,Under Contract,"869,975",,,Office Condo,,,,,,,Colliers,,A,2023,,,2,,,East Toronto,Suburban,M3B 2R7,Toronto,Canada,North America,Americas,,
4773 - 4789 Yonge St,Toronto,ON,Office,"1,165",5 Star,"$850,000",729.61,,Under Contract,"850,000",,,Hullmark Centre,,,,,Hullmark,,Golden House Realty Inc.,,A,2014,,,11,CR-1,,North Toronto,Suburban,M2N 0G3,Toronto,Canada,North America,Americas,,
1275 Finch Ave W,Toronto,ON,Office,974,4 Star,"$477,000",489.73,,Under Contract,"477,000",,,University Heights Professional Centre,,,,,David Mendel,,Lee & Associates Commercial Real Estate Inc.,Medical,B,2018,,,8,EL,,North Toronto,Suburban,M3J 2B1,Toronto,Canada,North America,Americas,,
